market,month,year,quantity,priceMin,priceMax,priceMod,state,city,date
ABOHAR(PB),January,2005,2350,404,493,446,PB,ABOHAR,Jan-05
ABOHAR(PB),January,2006,900,487,638,563,PB,ABOHAR,Jan-06
ABOHAR(PB),January,2010,790,1283,1592,1460,PB,ABOHAR,Jan-10
ABOHAR(PB),January,2011,245,3067,3750,3433,PB,ABOHAR,Jan-11
ABOHAR(PB),January,2012,1035,523,686,605,PB,ABOHAR,Jan-12
ABOHAR(PB),January,2013,675,1327,1900,1605,PB,ABOHAR,Jan-13
ABOHAR(PB),January,2014,440,1025,1481,1256,PB,ABOHAR,Jan-14
ABOHAR(PB),January,2015,1305,1309,1858,1613,PB,ABOHAR,Jan-15
ABOHAR(PB),February,2005,1400,286,365,324,PB,ABOHAR,Feb-05
ABOHAR(PB),February,2006,1800,343,411,380,PB,ABOHAR,Feb-06
ABOHAR(PB),February,2010,555,1143,1460,1322,PB,ABOHAR,Feb-10
ABOHAR(PB),February,2011,300,950,1400,1125,PB,ABOHAR,Feb-11
ABOHAR(PB),February,2012,675,510,650,570,PB,ABOHAR,Feb-12
ABOHAR(PB),February,2013,845,1400,1843,1629,PB,ABOHAR,Feb-13
ABOHAR(PB),February,2014,1115,831,1163,983,PB,ABOHAR,Feb-14
ABOHAR(PB),February,2015,1115,1200,1946,1688,PB,ABOHAR,Feb-15
ABOHAR(PB),March,2005,900,281,357,322,PB,ABOHAR,Mar-05
ABOHAR(PB),March,2006,3185,359,425,391,PB,ABOHAR,Mar-06
ABOHAR(PB),March,2010,385,510,878,688,PB,ABOHAR,Mar-10
ABOHAR(PB),March,2011,850,669,1042,855,PB,ABOHAR,Mar-11
ABOHAR(PB),March,2012,1295,538,675,608,PB,ABOHAR,Mar-12
ABOHAR(PB),March,2013,1055,920,1323,1080,PB,ABOHAR,Mar-13
ABOHAR(PB),March,2014,1300,844,1181,994,PB,ABOHAR,Mar-14
ABOHAR(PB),March,2015,920,1260,1980,1745,PB,ABOHAR,Mar-15
ABOHAR(PB),April,2006,2100,326,400,366,PB,ABOHAR,Apr-06
ABOHAR(PB),April,2010,840,466,755,611,PB,ABOHAR,Apr-10
ABOHAR(PB),April,2011,495,436,625,553,PB,ABOHAR,Apr-11
ABOHAR(PB),April,2012,2028,486,709,573,PB,ABOHAR,Apr-12
ABOHAR(PB),April,2013,932,892,1225,1035,PB,ABOHAR,Apr-13
ABOHAR(PB),April,2014,670,600,944,772,PB,ABOHAR,Apr-14
ABOHAR(PB),May,2005,375,390,550,475,PB,ABOHAR,May-05
ABOHAR(PB),May,2006,425,300,460,390,PB,ABOHAR,May-06
ABOHAR(PB),May,2010,2050,391,578,494,PB,ABOHAR,May-10
ABOHAR(PB),May,2011,1010,323,513,444,PB,ABOHAR,May-11
ABOHAR(PB),May,2012,300,250,675,500,PB,ABOHAR,May-12
ABOHAR(PB),May,2013,1410,617,980,814,PB,ABOHAR,May-13
ABOHAR(PB),May,2014,1350,789,1111,953,PB,ABOHAR,May-14
ABOHAR(PB),May,2015,940,1020,1620,1310,PB,ABOHAR,May-15
ABOHAR(PB),June,2005,1250,269,368,318,PB,ABOHAR,Jun-05
ABOHAR(PB),June,2006,125,200,320,300,PB,ABOHAR,Jun-06
ABOHAR(PB),June,2007,900,500,800,700,PB,ABOHAR,Jun-07
ABOHAR(PB),June,2010,2075,363,515,460,PB,ABOHAR,Jun-10
ABOHAR(PB),June,2011,1895,338,547,469,PB,ABOHAR,Jun-11
ABOHAR(PB),June,2012,1440,443,650,557,PB,ABOHAR,Jun-12
ABOHAR(PB),June,2013,1645,853,1297,1110,PB,ABOHAR,Jun-13
ABOHAR(PB),June,2014,1300,683,1129,942,PB,ABOHAR,Jun-14
ABOHAR(PB),June,2015,610,957,1829,1457,PB,ABOHAR,Jun-15
ABOHAR(PB),July,2005,825,319,387,348,PB,ABOHAR,Jul-05
ABOHAR(PB),July,2007,80,700,850,800,PB,ABOHAR,Jul-07
ABOHAR(PB),July,2010,2515,481,737,617,PB,ABOHAR,Jul-10
ABOHAR(PB),July,2011,1235,660,915,780,PB,ABOHAR,Jul-11
ABOHAR(PB),July,2012,1070,516,780,693,PB,ABOHAR,Jul-12
ABOHAR(PB),July,2013,1325,1913,2453,2187,PB,ABOHAR,Jul-13
ABOHAR(PB),July,2014,880,1300,2325,1883,PB,ABOHAR,Jul-14
ABOHAR(PB),July,2015,795,1008,2000,1517,PB,ABOHAR,Jul-15
ABOHAR(PB),August,2005,1400,457,543,499,PB,ABOHAR,Aug-05
ABOHAR(PB),August,2007,60,1400,1650,1500,PB,ABOHAR,Aug-07
ABOHAR(PB),August,2010,1125,591,1081,877,PB,ABOHAR,Aug-10
ABOHAR(PB),August,2011,1495,900,1217,1050,PB,ABOHAR,Aug-11
ABOHAR(PB),August,2012,775,638,913,786,PB,ABOHAR,Aug-12
ABOHAR(PB),August,2013,1072,3364,3959,3718,PB,ABOHAR,Aug-13
ABOHAR(PB),August,2014,885,1331,2185,1923,PB,ABOHAR,Aug-14
ABOHAR(PB),September,2005,2525,896,1048,963,PB,ABOHAR,Sep-05
ABOHAR(PB),September,2006,125,283,460,417,PB,ABOHAR,Sep-06
ABOHAR(PB),September,2010,395,836,1528,1318,PB,ABOHAR,Sep-10
ABOHAR(PB),September,2011,545,925,1406,1225,PB,ABOHAR,Sep-11
ABOHAR(PB),September,2012,200,517,917,775,PB,ABOHAR,Sep-12
ABOHAR(PB),September,2013,575,4273,5109,4800,PB,ABOHAR,Sep-13
ABOHAR(PB),September,2014,1245,1325,2063,1884,PB,ABOHAR,Sep-14
ABOHAR(PB),October,2005,150,783,1370,1217,PB,ABOHAR,Oct-05
ABOHAR(PB),October,2009,480,1479,1818,1664,PB,ABOHAR,Oct-09
ABOHAR(PB),October,2010,435,989,1770,1504,PB,ABOHAR,Oct-10
ABOHAR(PB),October,2011,970,956,1322,1119,PB,ABOHAR,Oct-11
ABOHAR(PB),October,2012,315,650,1088,925,PB,ABOHAR,Oct-12
ABOHAR(PB),October,2013,400,2979,5079,4429,PB,ABOHAR,Oct-13
ABOHAR(PB),October,2014,535,1314,2136,1914,PB,ABOHAR,Oct-14
ABOHAR(PB),November,2005,100,600,800,700,PB,ABOHAR,Nov-05
ABOHAR(PB),November,2009,315,1269,1663,1497,PB,ABOHAR,Nov-09
ABOHAR(PB),November,2010,320,1321,1892,1633,PB,ABOHAR,Nov-10
ABOHAR(PB),November,2011,445,800,1200,992,PB,ABOHAR,Nov-11
ABOHAR(PB),November,2012,675,806,1381,1150,PB,ABOHAR,Nov-12
ABOHAR(PB),November,2013,575,2250,3600,2867,PB,ABOHAR,Nov-13
ABOHAR(PB),November,2014,625,1325,2000,1781,PB,ABOHAR,Nov-14
ABOHAR(PB),December,2005,900,521,670,602,PB,ABOHAR,Dec-05
ABOHAR(PB),December,2009,335,1292,1581,1450,PB,ABOHAR,Dec-09
ABOHAR(PB),December,2010,350,2522,3344,3028,PB,ABOHAR,Dec-10
ABOHAR(PB),December,2011,50,500,800,600,PB,ABOHAR,Dec-11
ABOHAR(PB),December,2012,310,880,1565,1270,PB,ABOHAR,Dec-12
ABOHAR(PB),December,2013,470,1675,2356,1938,PB,ABOHAR,Dec-13
ABOHAR(PB),December,2014,1155,1294,1903,1659,PB,ABOHAR,Dec-14
